ms,ax,ay,az,gx,gy,gz
1336007,-0.1814,0.3214,-1.3802,107.5439,-107.9102,-105.1025
1336016,-0.1379,0.3444,-1.3329,120.4834,-103.3936,-102.3560
1336024,-0.1155,0.3453,-1.2542,135.7422,-96.0693,-97.9004
1336033,-0.1005,0.3472,-1.1599,148.6206,-88.0127,-93.8110
1336040,-0.1171,0.3575,-1.0670,158.5083,-80.0781,-89.6606
1336049,-0.1389,0.3563,-0.9750,165.5884,-73.6084,-85.7544
1336057,-0.1323,0.3633,-0.8772,170.3491,-69.6411,-81.8481
1336066,-0.1173,0.3687,-0.7958,171.0815,-67.5659,-77.4536
1336073,-0.1119,0.3746,-0.7250,170.6543,-66.7725,-73.7915
1336082,-0.1069,0.3805,-0.6589,169.0674,-67.0166,-70.2515
1336090,-0.0936,0.3918,-0.6007,168.3960,-66.0400,-66.7114
1336099,-0.0862,0.3954,-0.5616,165.1611,-64.6362,-65.0024
1336106,-0.0806,0.3912,-0.5374,159.6069,-63.3545,-64.1479
1336115,-0.0848,0.3971,-0.5096,153.7476,-63.4155,-64.2090
1336123,-0.0637,0.4053,-0.4877,145.5078,-65.3687,-64.1479
1336132,-0.0404,0.4061,-0.4619,138.3057,-67.0776,-63.8428
1336139,-0.0291,0.4229,-0.4316,132.0801,-67.7490,-62.9272
1336148,-0.0089,0.4346,-0.4141,123.4131,-66.7114,-60.6079
1336156,0.0037,0.4543,-0.3981,114.5020,-63.5376,-57.5562
1336165,0.0125,0.4583,-0.3918,104.6753,-58.2886,-52.5513
1336172,0.0029,0.4567,-0.3988,96.3135,-52.3071,-48.5229
1336181,0.0050,0.4581,-0.3923,91.1865,-45.7764,-44.7998
1336189,-0.0059,0.4695,-0.3751,87.9517,-38.3301,-40.7715
1336197,-0.0101,0.4762,-0.3723,79.1016,-33.5693,-39.4287
1336205,0.0020,0.4833,-0.3707,70.6177,-29.9683,-39.2456
1336214,0.0066,0.4968,-0.3674,66.1621,-25.7568,-37.4756
1336222,0.0052,0.5098,-0.3746,62.7441,-22.5220,-31.7993
1336231,-0.0023,0.5114,-0.3765,60.1196,-19.5923,-24.3530
1336238,-0.0009,0.5157,-0.3738,57.0679,-16.5405,-19.7144
1336247,-0.0076,0.5190,-0.3755,52.7344,-13.9160,-17.2119
1336255,-0.0038,0.5277,-0.3788,45.9595,-12.0850,-16.6626
1336264,0.0110,0.5355,-0.3895,37.3535,-10.6201,-16.7236
1336271,0.0253,0.5405,-0.3998,29.2358,-8.9111,-17.0898
1336280,0.0326,0.5424,-0.4016,21.6064,-6.8359,-16.4185
1336289,0.0410,0.5527,-0.4010,15.6860,-4.0283,-15.3198
1336296,0.0223,0.5543,-0.4037,11.5356,-1.8311,-12.8784
1336305,0.0114,0.5551,-0.3894,9.4604,-0.1221,-9.6436
1336313,0.0013,0.5597,-0.3838,7.2021,0.5493,-6.7139
1336321,0.0038,0.5618,-0.3777,3.7842,0.5493,-4.2725
1336329,0.0193,0.5667,-0.3749,1.0376,1.2817,-1.7700
1336338,0.0145,0.5823,-0.3903,-1.0376,1.7090,0.6714
1336346,0.0081,0.5872,-0.4053,-3.1128,1.4038,3.3569
1336354,0.0249,0.5984,-0.4076,-4.8828,1.4648,5.7983
1336363,0.0443,0.6143,-0.4193,-7.3242,3.2959,8.1787
1336371,0.0470,0.6262,-0.4352,-10.6812,5.7373,10.4980
1336379,0.0535,0.6290,-0.4380,-14.2822,8.7891,12.9395
1336387,0.0515,0.6344,-0.4421,-17.5781,12.3901,14.4653
1336395,0.0532,0.6379,-0.4489,-21.8506,14.5874,15.4419
1336404,0.0616,0.6356,-0.4580,-25.6958,16.2964,16.5405
1336412,0.0837,0.6313,-0.4626,-29.4800,17.6392,18.7378
1336420,0.0935,0.6343,-0.4757,-32.2876,18.9819,21.0571
1336429,0.0950,0.6395,-0.4966,-35.0342,19.7754,23.6816
1336437,0.0905,0.6426,-0.5222,-38.8794,19.6533,26.4282
1336445,0.0848,0.6418,-0.5455,-42.2974,18.1885,29.4800
1336453,0.0720,0.6451,-0.5651,-44.4946,15.6860,32.7148
1336462,0.0671,0.6517,-0.5736,-46.5698,12.5122,35.9497
1336470,0.0822,0.6628,-0.5654,-48.0347,9.7656,38.8794
1336478,0.0966,0.6748,-0.5642,-49.2554,8.5449,41.3818
1336487,0.1046,0.6737,-0.5399,-49.3774,7.5073,44.4946
1336494,0.1249,0.6697,-0.5050,-48.0957,7.9346,48.0957
