ms,ax,ay,az,gx,gy,gz
979108,-0.5016,0.4557,-1.2196,-137.0239,76.3550,-96.6797
979116,-0.4136,0.4769,-1.2433,-143.3716,88.9893,-111.9995
979125,-0.3884,0.4844,-1.2621,-152.8320,97.7173,-122.3145
979132,-0.3707,0.4706,-1.2954,-162.2314,100.2197,-128.2959
979141,-0.3439,0.4529,-1.3083,-166.1377,97.7173,-133.1787
979149,-0.2959,0.4515,-1.3241,-172.4854,89.4775,-140.1978
979158,-0.2810,0.4194,-1.3256,-180.2979,72.3877,-150.3296
979165,-0.4468,0.3422,-1.3793,-185.5469,44.7998,-161.9263
979174,-0.6842,0.2042,-1.3760,-168.9453,13.6108,-181.4575
979182,-0.6826,0.1749,-1.1903,-140.1978,-7.9956,-208.3740
979191,-0.7061,0.1298,-1.0022,-100.4028,-18.4937,-227.9663
979198,-0.5688,0.1753,-1.0276,-35.8276,-28.1982,-230.4687
979207,-0.3855,0.2180,-1.0521,-13.3667,-38.5132,-215.5762
979215,-0.4386,0.1917,-1.0934,-0.3052,-51.6968,-198.3643
979223,-0.4026,0.1464,-1.1304,9.5825,-64.2700,-187.3779
979232,-0.2496,0.1117,-1.1520,13.1836,-74.4629,-177.8564
979240,-0.0873,0.1104,-1.1477,17.0288,-78.8574,-165.1001
979248,0.0022,0.1349,-1.1675,21.1792,-76.6602,-152.2217
979257,0.1024,0.0815,-1.1722,30.8838,-62.3779,-144.3481
979265,0.1096,0.1185,-1.2097,29.1748,-56.5796,-151.4282
979273,0.2260,0.1313,-1.2007,42.7856,-50.4761,-138.1836
979281,0.1918,0.1677,-1.1494,65.1245,-39.4897,-119.8730
979290,0.1570,0.1870,-1.1095,65.9790,-35.0952,-109.3140
979297,0.1516,0.1805,-1.0920,66.2231,-30.6396,-111.8164
979306,0.1526,0.2012,-1.0569,68.9087,-28.0762,-111.5112
979315,0.1709,0.2213,-0.9984,71.9604,-27.8931,-101.6846
979322,0.1608,0.2258,-0.9374,73.1812,-28.0762,-93.6890
979331,0.1219,0.2302,-0.9097,72.4487,-28.4424,-92.0410
979339,0.0715,0.2430,-0.8828,69.7632,-32.0435,-91.4917
979347,0.0686,0.2484,-0.8378,64.5142,-38.0859,-87.5854
979356,0.0680,0.2538,-0.8141,60.5469,-42.8467,-82.9468
979364,0.0422,0.2637,-0.8053,57.2510,-46.0205,-78.9795
979372,0.0383,0.2659,-0.7976,53.4668,-49.1333,-75.0122
979380,0.0547,0.2749,-0.7882,49.1943,-51.3916,-72.1436
979389,0.0767,0.2885,-0.7898,45.1050,-51.5747,-68.2373
979396,0.0964,0.2856,-0.7955,39.1846,-49.9878,-65.4907
979405,0.1133,0.2842,-0.7986,35.8276,-47.3022,-61.4014
979414,0.1321,0.2795,-0.7933,38.9404,-39.9780,-58.8989
979422,0.1389,0.3195,-0.7646,37.5977,-34.7900,-51.6357
979430,0.0994,0.3254,-0.7639,26.9165,-34.6680,-45.8374
979438,0.1296,0.2950,-0.7728,24.4141,-30.2734,-46.8140
979447,0.1243,0.3296,-0.7539,33.3862,-22.5220,-43.1519
979455,0.0956,0.3400,-0.7451,34.6680,-18.6768,-33.3862
979463,0.0930,0.3220,-0.7422,34.9121,-15.2588,-29.1748
979472,0.0825,0.3467,-0.7437,36.8042,-12.0850,-26.9775
979480,0.0742,0.3484,-0.7394,34.8511,-10.6201,-22.3999
979488,0.0802,0.3536,-0.7369,31.7383,-9.8267,-19.9585
979496,0.0803,0.3658,-0.7454,26.6724,-10.0708,-17.8833
979504,0.0697,0.3608,-0.7548,20.8740,-11.2915,-15.3809
979513,0.0790,0.3644,-0.7554,14.9536,-13.3667,-13.1836
979521,0.1030,0.3643,-0.7528,11.4136,-14.3433,-11.8408
979530,0.1176,0.3682,-0.7510,9.7656,-15.2588,-9.3994
979537,0.1241,0.3634,-0.7451,9.4604,-15.8081,-6.6528
979546,0.1292,0.3712,-0.7378,10.1929,-16.2354,-4.5166
979554,0.1359,0.3768,-0.7277,11.5967,-16.0522,-1.1597
979562,0.1339,0.3915,-0.7256,13.2446,-15.7471,3.6011
979571,0.1342,0.3922,-0.7217,13.6719,-14.3433,8.7280
979579,0.1476,0.3993,-0.7118,13.7329,-11.9019,11.4746
979587,0.1578,0.4132,-0.7069,13.0005,-9.0942,13.9160
979596,0.1658,0.4203,-0.7147,9.8267,-6.6528,16.8457
979603,0.1705,0.4242,-0.7314,6.8359,-4.3335,19.4702
979612,0.1686,0.4271,-0.7427,4.1504,-1.6479,22.4609
979620,0.1719,0.4279,-0.7393,1.8921,1.8311,25.2075
979628,0.1726,0.4335,-0.7465,0.5493,5.4321,27.5269
979636,0.1542,0.4321,-0.7576,-0.8545,7.4463,30.5786
979645,0.1637,0.4225,-0.7418,-0.6714,8.2397,34.1187
979653,0.1677,0.4314,-0.7208,0.6714,9.1553,37.2925
979661,0.1681,0.4393,-0.7131,0.3662,10.5591,39.9780
979670,0.1693,0.4429,-0.7141,-1.2817,12.0850,42.3584
979677,0.1686,0.4536,-0.7158,-2.9907,13.3667,44.6777
979686,0.1683,0.4590,-0.7253,-5.1270,15.3809,47.6685
979695,0.1599,0.4570,-0.7467,-8.0566,17.4561,50.5981
979702,0.1451,0.4507,-0.7721,-11.2915,19.2871,53.5278
979711,0.1420,0.4464,-0.7876,-14.8926,20.8130,56.2134
979719,0.1605,0.4392,-0.7933,-18.3105,22.5220,58.8989
979728,0.1838,0.4381,-0.7800,-19.8975,25.7568,61.2183
979735,0.2240,0.4341,-0.7621,-21.1182,30.4565,65.3687
979744,0.2106,0.4282,-0.7241,-20.3247,38.8184,69.5190
979752,0.2485,0.4232,-0.6906,-22.1558,45.6543,73.7305
979760,0.2506,0.4224,-0.6547,-19.1650,54.9316,81.6650
979769,0.2587,0.4139,-0.6344,-19.5923,63.7207,90.8813
979777,0.2422,0.4006,-0.6310,-21.2402,72.6318,95.8862
979785,0.2241,0.3984,-0.6566,-21.7285,80.4443,103.8208
979794,0.1189,0.3778,-0.7412,-22.3999,86.4258,115.2344
979802,-0.0059,0.3486,-0.8019,-22.1558,85.9985,126.4648
979810,-0.0798,0.3448,-0.8556,-28.0151,76.6602,133.9111
979818,-0.1215,0.3494,-0.9108,-35.8887,65.3687,140.3198
