ms,ax,ay,az,gx,gy,gz
1712507,0.8881,0.6495,-1.7499,-270.7520,139.8315,157.4707
1712515,0.8285,0.6382,-1.3027,-208.7402,210.9375,176.8799
1712524,0.2015,0.4982,-0.9653,-167.2363,251.4648,219.9707
1712532,-0.6030,0.0992,-0.9181,-146.2402,242.9810,232.1167
1712540,-1.1812,-0.3141,-1.0538,-82.8247,196.2280,206.6650
1712548,-1.3651,-0.5823,-1.3262,-35.0952,113.9526,176.6357
1712556,-1.3959,-0.4963,-1.6327,-4.3945,22.8271,151.7334
1712565,-1.1460,-0.2593,-1.8832,24.9023,-49.4385,121.8262
1712573,-0.7263,0.0574,-1.9401,53.1616,-94.4214,89.5386
1712582,-0.6766,0.3528,-1.9696,66.2842,-114.9902,76.7212
1712589,-0.7661,0.4412,-1.9733,72.0215,-119.6289,69.5801
1712598,-0.7091,0.4049,-1.8658,78.9185,-116.1499,49.1333
1712607,-0.6486,0.4525,-1.6908,77.0264,-112.9150,28.2593
1712614,-0.5714,0.5476,-1.5114,74.3408,-113.4033,18.3716
1712623,-0.4722,0.5769,-1.3586,76.4771,-112.7319,16.9678
1712631,-0.3776,0.5581,-1.2343,77.2705,-107.4219,16.3574
1712639,-0.3088,0.5187,-1.1486,76.7212,-95.5200,15.6860
1712648,-0.2789,0.4846,-1.0897,79.0405,-76.4160,12.5122
1712656,-0.2715,0.4662,-1.0474,80.0781,-56.0913,10.3149
1712664,-0.2677,0.4475,-1.0057,79.7119,-38.0249,11.3525
1712672,-0.2703,0.4321,-0.9708,82.5806,-20.7520,12.4512
1712681,-0.2861,0.4091,-0.9264,84.1064,-6.9580,13.6108
1712688,-0.3035,0.3885,-0.8741,79.7729,2.0142,12.3901
1712697,-0.3004,0.3756,-0.8217,73.0591,9.3994,6.2866
1712706,-0.3116,0.3815,-0.7832,68.4204,15.7471,-0.5493
1712713,-0.3328,0.3770,-0.7698,65.7349,18.1274,-3.9673
1712722,-0.3536,0.3645,-0.7793,60.4248,15.0146,-5.0659
1712730,-0.3804,0.3224,-0.7876,54.8706,7.6294,-7.6904
1712739,-0.3668,0.3041,-0.7612,51.0254,-0.4272,-11.0474
1712746,-0.3274,0.3175,-0.7393,48.6450,-6.2866,-14.0991
1712755,-0.3097,0.3313,-0.7415,46.6919,-10.9253,-16.4185
1712763,-0.3064,0.3208,-0.7300,45.5933,-16.1743,-17.8833
1712772,-0.2762,0.3140,-0.6940,47.8516,-20.3247,-19.2261
1712779,-0.2472,0.3270,-0.6698,50.8423,-21.9727,-20.4468
1712788,-0.2227,0.3375,-0.6589,51.8188,-22.3999,-21.0571
1712796,-0.2009,0.3468,-0.6578,51.5137,-21.5454,-22.0947
1712805,-0.1859,0.3491,-0.6422,51.2695,-19.2261,-22.5220
1712812,-0.1814,0.3530,-0.6268,51.4526,-15.4419,-22.3999
1712821,-0.1809,0.3698,-0.6001,51.8799,-10.3760,-21.3013
1712829,-0.1631,0.3898,-0.5884,49.4385,-4.8218,-20.9961
1712838,-0.1715,0.3840,-0.5952,43.7012,-0.8545,-21.1792
1712845,-0.1648,0.3851,-0.5919,39.7339,2.5024,-21.9116
1712854,-0.1552,0.3907,-0.5842,35.8276,5.0049,-22.2778
1712863,-0.1368,0.3956,-0.5688,31.8604,7.5684,-22.2778
1712870,-0.1217,0.4104,-0.5527,28.4424,10.8643,-21.9116
1712879,-0.1199,0.4172,-0.5326,24.1089,13.8550,-20.8130
1712887,-0.1090,0.4183,-0.5085,20.0195,16.1133,-19.8364
1712895,-0.1038,0.4218,-0.4916,15.8691,16.9067,-19.2871
1712904,-0.0956,0.4305,-0.4822,12.6953,16.6016,-18.8599
1712912,-0.1057,0.4380,-0.4771,9.3384,15.1367,-17.7612
1712920,-0.1141,0.4387,-0.4724,6.4697,13.0615,-15.9912
1712928,-0.1047,0.4453,-0.4783,2.9907,11.1694,-14.8926
1712937,-0.1151,0.4512,-0.5039,-2.0752,8.9111,-14.0991
1712945,-0.1327,0.4539,-0.5427,-8.2397,6.0425,-12.8174
1712953,-0.1514,0.4530,-0.5878,-12.8784,3.8452,-12.0239
1712962,-0.1647,0.4551,-0.6307,-19.2261,1.2817,-11.4136
1712970,-0.1930,0.4542,-0.6654,-25.5127,-0.9155,-11.3525
1712978,-0.2056,0.4572,-0.6801,-30.9448,-2.9297,-11.8408
1712986,-0.1979,0.4695,-0.6838,-37.4756,-4.5166,-11.7798
1712994,-0.1805,0.4811,-0.6818,-44.7998,-4.5776,-11.2305
1713003,-0.1398,0.4905,-0.6722,-50.5981,-2.8687,-10.8032
1713011,-0.0933,0.4958,-0.6479,-55.7861,1.5869,-10.7422
1713020,-0.0624,0.5060,-0.6407,-60.3027,7.3853,-10.6812
1713027,-0.0911,0.5151,-0.6694,-64.6362,11.9019,-11.2305
1713036,-0.1425,0.5201,-0.7235,-68.3594,13.3667,-12.5732
1713044,-0.2002,0.5216,-0.7969,-70.0684,11.2305,-14.1602
1713053,-0.3119,0.5178,-0.8696,-72.2046,5.3711,-16.0522
1713061,-0.3737,0.5026,-0.9265,-78.8574,-5.5542,-20.2026
1713068,-0.4158,0.5142,-0.9861,-84.6558,-18.3716,-26.4893
1713077,-0.4462,0.5201,-1.0348,-91.1865,-30.6396,-32.4097
1713085,-0.4581,0.5321,-1.1069,-98.6938,-39.0625,-38.5132
1713094,-0.4648,0.5214,-1.2042,-109.4971,-43.7622,-47.2412
1713102,-0.3889,0.5055,-1.2714,-120.1172,-41.5039,-56.2744
1713111,-0.2930,0.4985,-1.3340,-125.6104,-31.0059,-62.6221
1713119,-0.2416,0.4713,-1.4308,-129.1504,-17.7612,-67.7490
1713126,-0.1976,0.4020,-1.4862,-130.7373,-4.3945,-75.3784
1713135,-0.1376,0.3478,-1.5280,-119.7510,14.8926,-87.0361
1713143,-0.2111,0.3157,-1.5699,-101.0132,33.3862,-100.7690
1713152,-0.2252,0.2732,-1.6045,-104.7974,31.4941,-106.9946
1713159,-0.1222,0.2505,-1.6022,-96.6797,30.5786,-119.9341
1713168,-0.0479,0.2946,-1.5571,-79.6509,38.8184,-124.2676
1713176,-0.0696,0.2693,-1.4951,-76.5381,47.7905,-123.7183
1713185,-0.0228,0.2446,-1.4380,-89.3555,44.7388,-135.9253
1713192,0.0002,0.2264,-1.3779,-98.7549,35.8276,-149.8413
1713201,0.1309,0.2147,-1.3850,-104.2480,23.1934,-162.7808
1713209,-0.0437,0.1349,-1.2415,-96.6187,-5.3711,-184.7534
1713218,-0.4796,0.0360,-1.1294,-92.6514,-43.1519,-215.0269
1713226,-0.4946,-0.1427,-0.9543,-65.8569,-58.5327,-231.1401
1713234,-0.1614,-0.0665,-1.1041,14.4653,-53.7720,-227.6611
1713243,-0.1012,0.1211,-1.0898,33.4473,-48.8892,-206.4819
1713250,-0.1484,0.1637,-1.1563,23.9868,-36.9263,-171.2036
1713259,-0.2163,-0.0144,-1.2252,32.0435,-22.6440,-145.3857
1713267,-0.1401,-0.1392,-1.2300,53.5889,-19.5923,-134.2163
1713276,0.0114,-0.1119,-1.2177,76.6602,-22.7661,-130.0659
1713283,0.0261,-0.0551,-1.2205,93.8721,-26.0620,-134.2773
1713292,0.1581,0.0382,-1.2163,99.1821,-36.6821,-133.1787
1713300,0.2368,0.0533,-1.1864,109.3750,-37.8418,-116.1499
1713309,0.3533,0.0409,-1.1462,103.6987,-43.6401,-102.1729
1713316,0.4978,0.0665,-1.1162,98.2666,-44.7388,-93.6279
1713325,0.5679,0.0883,-1.0803,98.6328,-35.7056,-86.8530
