ms,ax,ay,az,gx,gy,gz
449921,0.0391,0.1516,-0.9725,322.7539,-164.3066,-134.8267
449930,0.0552,0.1776,-0.8729,326.5381,-160.4614,-127.9297
449937,0.0834,0.1949,-0.7845,333.3740,-149.3530,-121.8872
449946,0.0819,0.1965,-0.6710,337.6465,-134.5215,-115.3564
449954,0.0781,0.1841,-0.5621,333.2520,-120.2393,-107.7271
449963,0.0679,0.1661,-0.4171,323.7305,-107.8491,-103.8818
449970,0.0537,0.1702,-0.2660,309.6313,-98.9380,-100.9521
449979,0.0342,0.1748,-0.1688,289.7949,-93.9941,-99.5483
449987,-0.0024,0.1591,-0.1010,268.6768,-94.9097,-98.5107
449996,-0.0270,0.1387,-0.0441,245.7275,-98.5718,-96.6187
450003,-0.0527,0.1235,0.0117,223.0835,-100.5859,-93.6279
450012,-0.0695,0.1205,0.0273,195.4956,-103.2715,-92.5293
450020,-0.0763,0.0942,0.0609,174.8657,-103.7598,-92.2852
450029,-0.0714,0.0647,0.0635,153.5645,-102.6001,-94.2993
450037,-0.0917,0.0474,0.0758,138.4888,-97.6563,-95.1538
450045,-0.1069,0.0328,0.0902,129.6387,-89.4165,-92.2852
450054,-0.1174,0.0305,0.1206,124.3286,-79.7119,-82.7026
450061,-0.1058,0.0228,0.1559,116.7603,-70.5566,-66.6504
450070,-0.0819,0.0078,0.1876,107.2998,-59.5703,-49.9268
450079,-0.0455,-0.0062,0.2340,99.9756,-46.1426,-36.5601
450086,-0.0273,-0.0209,0.2693,91.5527,-33.0200,-26.0010
450094,-0.0100,-0.0426,0.2853,82.2144,-20.8740,-16.4185
450103,-0.0026,-0.0540,0.2881,72.7539,-10.4370,-9.5825
450112,0.0079,-0.0511,0.2900,62.6831,-2.8076,-5.8594
450119,0.0129,-0.0410,0.2596,47.9126,3.7231,-3.6621
450128,0.0331,-0.0482,0.2384,35.2173,10.6812,-0.7324
450135,0.0282,-0.0514,0.2301,21.6675,18.1885,1.2207
450144,0.0201,-0.0366,0.2314,6.1646,24.7192,0.1221
450153,0.0302,-0.0153,0.2355,-7.9956,30.7007,-0.1831
450160,0.0446,0.0012,0.2396,-20.6909,36.3159,3.8452
450169,0.0598,0.0144,0.2501,-29.7852,42.6025,11.7798
450177,0.0663,0.0240,0.2594,-36.8652,49.0112,21.7896
450186,0.0795,0.0366,0.2766,-44.3726,55.2979,32.5928
450194,0.0967,0.0465,0.3033,-52.6123,61.7065,43.5791
450202,0.1116,0.0557,0.3273,-61.2183,68.4204,54.3823
450210,0.1333,0.0577,0.3340,-71.3501,74.8901,65.0635
450219,0.1641,0.0582,0.3293,-82.0313,79.6509,75.0732
450227,0.1912,0.0708,0.3187,-95.7642,82.3364,83.9844
450235,0.2299,0.0284,0.2578,-115.8447,82.2754,92.2241
450243,0.2637,0.0127,0.1981,-134.6436,80.2002,98.3276
450252,0.2876,0.0004,0.1173,-151.0620,77.6367,102.7832
450260,0.3103,-0.0027,-0.0052,-172.1802,72.4487,107.6050
450268,0.3550,0.0022,-0.1204,-197.5708,65.4907,114.8071
450276,0.4125,0.0404,-0.1931,-224.1821,59.7534,125.4272
450284,0.3866,0.1001,-0.2937,-252.6245,56.0913,137.3901
450293,0.3538,0.1431,-0.4286,-287.2314,50.8423,149.1699
450301,0.2955,0.2285,-0.6134,-321.2280,41.2598,159.9731
450309,0.2715,0.3569,-0.9436,-359.6802,26.9165,171.6309
450318,0.2754,0.5483,-1.3851,-409.2407,19.9585,198.6694
450326,0.4020,0.6558,-1.8123,-415.8325,42.3584,255.9204
450334,0.3196,0.8583,-2.3501,-428.5889,101.0742,295.6543
450342,0.1482,1.0048,-3.2173,-535.5835,167.4805,320.5566
450351,1.3313,0.9014,-3.3423,-541.5039,296.6309,304.7485
450359,1.7311,0.8333,-1.8641,-297.9736,450.8667,281.3110
450367,-0.0295,1.1194,-1.0536,-123.5962,530.9448,354.8584
450376,-2.7620,0.9774,-1.4434,-45.2271,465.3931,479.0039
450384,-2.9420,-0.1624,-2.0219,18.6768,267.3950,485.2905
450392,-2.7073,-0.3181,-2.0603,144.9585,97.4731,388.7939
450400,-2.2401,-0.6152,-2.3451,158.8745,22.0947,335.6323
450409,-2.0857,-0.1844,-2.3545,130.8594,-39.7339,260.1929
450416,-2.9435,0.6593,-2.3380,87.8296,-102.2949,159.6680
450425,-2.8239,1.0508,-2.0928,82.8247,-163.2080,51.2695
450433,-2.2913,1.1792,-1.7439,66.9556,-207.0923,-18.0664
450442,-1.7074,1.2231,-1.4728,74.8291,-206.9092,-39.1235
450450,-1.3933,1.3472,-1.1812,116.2109,-182.3120,-50.3540
450458,-1.0786,1.2101,-0.9745,118.7744,-173.9502,-64.5142
450466,-0.8010,1.0964,-0.8215,120.7886,-164.1235,-71.1060
450475,-0.6852,1.0414,-0.6803,127.0142,-145.4468,-66.5894
450483,-0.6669,0.8909,-0.5880,129.5776,-124.5117,-54.9927
450491,-0.6118,0.7214,-0.5184,128.7231,-103.2104,-47.7295
450499,-0.5428,0.6207,-0.4395,130.1270,-81.0547,-47.9126
450507,-0.4913,0.5668,-0.3593,126.4038,-61.2793,-48.5840
450516,-0.5015,0.5079,-0.2784,117.3096,-43.0908,-47.4243
450524,-0.5345,0.4738,-0.2186,110.4736,-27.7100,-45.0439
450532,-0.5709,0.4507,-0.1549,108.9478,-15.0146,-42.4194
450540,-0.5758,0.4370,-0.0817,108.8867,-5.5542,-41.4429
450549,-0.5262,0.6333,0.0269,99.0601,0.9766,-43.5181
450557,-0.5831,0.3060,-0.0640,75.5615,8.6060,-60.3638
450565,-0.5309,0.3116,-0.0566,67.0776,12.6953,-57.0679
450574,-0.4592,0.3373,-0.0389,61.0962,15.1367,-52.0020
450582,-0.4077,0.2877,-0.0258,56.0913,18.4937,-50.3540
450590,-0.3478,0.2441,0.0012,50.9644,20.7520,-47.9736
450599,-0.3185,0.2255,0.0160,42.9688,20.6909,-44.6777
450606,-0.3616,0.2111,-0.0142,33.5693,20.0806,-44.9829
450615,-0.4164,0.2063,-0.0641,20.6299,16.1133,-45.5322
450623,-0.4635,0.1871,-0.1158,6.8359,9.9487,-45.8984
450632,-0.4969,0.1771,-0.1552,-3.4180,5.2490,-46.5088
450639,-0.5020,0.1809,-0.1788,-11.1084,3.7842,-44.7998
450648,-0.4974,0.1853,-0.1831,-17.4561,5.2490,-41.6870
450656,-0.4690,0.1868,-0.1641,-22.1558,9.3994,-38.6963
450665,-0.4600,0.2008,-0.1691,-28.7476,14.2212,-34.9731
450672,-0.4594,0.2211,-0.1777,-36.3770,20.2026,-30.8838
450681,-0.4484,0.2339,-0.1903,-44.0674,27.0996,-26.8555
450689,-0.4432,0.2520,-0.2046,-51.4526,35.3394,-23.0103
450698,-0.4434,0.2732,-0.2208,-59.5703,44.3115,-18.5547
450705,-0.4506,0.2986,-0.2336,-69.9463,54.5044,-14.5874
450714,-0.4689,0.3374,-0.2433,-81.4209,65.9790,-11.6577
450722,-0.4902,0.3734,-0.2467,-93.8110,78.3691,-9.8877
450731,-0.5366,0.4156,-0.2556,-104.9194,89.8438,-8.7891
450739,-0.6173,0.5028,-0.3577,-116.2720,97.1069,-9.3994
450747,-0.7625,0.5668,-0.5203,-131.5308,96.9849,-14.0381
450755,-0.9012,0.6553,-0.7501,-148.3154,89.3555,-23.4375
450764,-1.0535,0.7771,-1.0538,-174.0112,73.9136,-37.1094
450772,-1.0677,0.8900,-1.4281,-207.7637,45.1660,-53.2837
450780,-1.1271,0.9912,-1.7617,-245.8496,21.4844,-69.7632
450788,-0.9993,0.9351,-1.9896,-283.4473,15.2588,-85.3882
450797,-0.9619,0.8057,-2.2195,-320.4956,16.7236,-116.6382
450805,-0.4242,0.7042,-2.1113,-342.1021,31.0669,-130.8594
450813,-0.0437,0.7975,-1.7667,-263.2446,71.3501,-133.7891
450821,-0.1542,0.8121,-1.5348,-232.7881,91.0034,-130.3711
450830,-0.4692,0.6289,-1.5310,-231.3843,83.1909,-143.4937
450838,-0.6213,0.4073,-1.8971,-279.4800,50.9033,-197.2656
450846,-0.6799,0.2227,-2.4987,-338.3789,-8.5449,-257.0801
450854,-2.1002,-0.2032,-1.9202,-333.1299,-108.6426,-319.5801
450863,-2.0419,-0.5205,-1.8994,-178.5278,-159.9731,-377.4414
450871,-0.8165,-0.3302,-1.3137,-59.2041,-188.0493,-416.9922
450879,-0.2676,0.0217,-1.1809,-46.4478,-206.9702,-411.1328
450888,-0.1066,-0.0116,-1.2015,-24.5972,-195.9839,-371.0937
450896,-0.0234,-0.1050,-1.2061,-14.8315,-149.2920,-318.8477
450904,0.1510,-0.3037,-1.2274,-10.0708,-105.3467,-257.9956
450913,0.1970,-0.4393,-1.2715,7.8735,-72.6318,-219.3604
450920,0.1074,-0.4763,-1.3046,49.1333,-41.3208,-200.2563
450929,0.1051,-0.3867,-1.2914,91.6748,-29.2358,-187.7441
450937,0.1079,-0.2546,-1.2107,110.9009,-45.8374,-171.5698
450946,0.4323,-0.3124,-1.2001,133.0566,-49.6216,-160.5835
450953,0.6278,-0.2670,-1.0873,182.3730,-36.8652,-153.9307
450962,0.7267,-0.1625,-1.0134,163.3911,-37.8418,-133.4229
450970,0.7592,-0.1163,-0.9789,129.6387,-38.5132,-123.6572
450979,0.6516,-0.0990,-0.9912,105.4688,-33.5083,-115.2954
450987,0.5962,-0.0920,-0.9221,103.0273,-24.9634,-103.4546
450994,0.5366,-0.0459,-0.8414,108.5205,-15.0757,-90.0269
451003,0.4226,0.0002,-0.7831,106.8115,-9.6436,-77.6978
451012,0.3058,-0.0007,-0.7264,102.9663,-10.4370,-67.5659
451020,0.2283,-0.0001,-0.6661,100.1587,-15.5029,-60.1807
451028,0.1797,0.0197,-0.5979,98.8159,-23.0713,-55.4810
