ms,ax,ay,az,gx,gy,gz
1161870,-0.2639,0.7521,-1.3011,-107.4829,148.9868,215.0879
1161879,-0.9205,0.5275,-1.1907,-69.5801,131.2256,219.6655
1161887,-1.3755,0.2627,-1.2340,-32.2266,76.6602,204.2847
1161895,-1.4424,0.1550,-1.3276,-8.3618,5.7373,171.8140
1161903,-1.2324,0.2535,-1.4250,6.0425,-52.4902,133.3008
1161911,-1.0884,0.4180,-1.5297,19.8975,-88.7451,105.0415
1161920,-1.0856,0.5487,-1.6293,36.9873,-103.6377,87.0972
1161928,-1.0573,0.6031,-1.6459,53.1616,-108.3984,67.8711
1161937,-0.9653,0.6578,-1.5914,58.3496,-109.7412,44.4336
1161944,-0.8722,0.7177,-1.4734,60.9741,-106.3843,20.9351
1161953,-0.7993,0.7778,-1.3242,64.0869,-103.1494,6.7749
1161961,-0.7469,0.7673,-1.1921,66.2231,-102.4170,1.6479
1161970,-0.7041,0.7332,-1.0775,70.9839,-101.0742,-3.5400
1161977,-0.6533,0.7006,-0.9784,74.5850,-99.1211,-9.0942
1161986,-0.6040,0.6635,-0.8951,76.8433,-96.4966,-14.8926
1161994,-0.5699,0.6198,-0.8335,76.4160,-92.9565,-17.2119
1162003,-0.5424,0.5786,-0.7678,78.0029,-87.0972,-18.4326
1162011,-0.5103,0.5472,-0.7114,80.3833,-78.6743,-18.4326
1162019,-0.4979,0.5267,-0.6787,79.8340,-68.2983,-18.7378
1162027,-0.4867,0.5045,-0.6476,76.5381,-58.5327,-18.7988
1162036,-0.4663,0.4790,-0.6124,75.1953,-48.6450,-20.9961
1162044,-0.4641,0.4786,-0.5903,72.3877,-40.3442,-23.1934
1162052,-0.4407,0.4532,-0.5736,67.3828,-34.0576,-24.5361
1162060,-0.4076,0.4384,-0.5488,62.4390,-29.1138,-26.2451
1162069,-0.3932,0.4243,-0.5225,56.8237,-24.4141,-28.0762
1162077,-0.3746,0.4072,-0.4940,50.6592,-21.8506,-30.2734
1162085,-0.3547,0.4011,-0.4575,44.0674,-20.2026,-32.7148
1162093,-0.3400,0.3943,-0.4307,37.6587,-19.4702,-34.8511
1162102,-0.3282,0.3912,-0.4111,33.5693,-18.0664,-35.6445
