ms,ax,ay,az,gx,gy,gz
261645,0.3394,0.6371,-0.7899,-138.6719,-2.9907,99.4873
261654,0.2988,0.6504,-0.8535,-148.9868,-2.5635,107.9102
261661,0.2495,0.6548,-0.9103,-162.4146,-0.6714,114.5630
261670,0.2178,0.6454,-0.9324,-179.3823,7.5684,119.8120
261678,0.2721,0.6422,-0.9019,-189.5142,23.5596,125.9766
261686,0.2882,0.6415,-0.8698,-193.6646,41.9312,129.4556
261694,0.2677,0.6302,-0.8414,-192.5049,58.8379,132.6294
261703,0.1995,0.6147,-0.8671,-193.9697,67.6880,138.3667
261711,0.1011,0.5515,-0.8997,-187.1948,71.6553,142.2729
261719,0.0048,0.5591,-0.9658,-171.9971,72.3877,146.6064
261727,-0.1056,0.4716,-1.0564,-141.1133,75.8057,148.0103
261736,-0.2948,0.5220,-1.1238,-131.8970,62.5610,145.7520
261744,-0.3196,0.4984,-1.2719,-151.1841,34.1797,145.3247
261753,-0.3539,0.5546,-1.3754,-123.5352,18.6768,133.7280
261760,-0.3500,0.5735,-1.3868,-96.5576,6.7749,134.6436
261769,-0.3680,0.5897,-1.3705,-78.6743,-2.9907,140.3809
261777,-0.4264,0.5505,-1.3909,-78.6743,-14.0381,142.4561
261786,-0.4589,0.5358,-1.3995,-76.0498,-23.0713,132.2632
261793,-0.4614,0.5099,-1.3561,-71.7163,-30.0903,121.3379
261802,-0.4592,0.4882,-1.2885,-59.5093,-32.6538,111.4502
261810,-0.4690,0.4670,-1.2184,-43.4570,-33.7524,104.1870
261819,-0.4573,0.4602,-1.1871,-33.8135,-36.2549,97.5952
261827,-0.4373,0.4417,-1.1777,-28.3813,-41.7480,90.9424
261835,-0.4410,0.4313,-1.1815,-22.7051,-48.4619,83.7402
261843,-0.4489,0.4298,-1.2322,-22.7051,-56.7627,76.4771
261851,-0.4320,0.4180,-1.2469,-18.4937,-62.3779,69.2139
261860,-0.4291,0.4176,-1.2469,-10.0098,-64.5752,63.8428
261868,-0.4441,0.4155,-1.2506,-6.2866,-67.4438,59.9976
261876,-0.4180,0.3983,-1.2469,-4.3335,-69.6411,54.8706
261884,-0.3934,0.3986,-1.2285,4.0283,-67.6880,48.1567
261893,-0.3688,0.4160,-1.1912,15.5029,-64.5142,45.7153
261901,-0.3602,0.4102,-1.1633,24.1089,-62.6831,46.8140
261909,-0.3539,0.3945,-1.1401,27.3438,-62.8662,46.6919
261917,-0.3271,0.3750,-1.0968,31.9824,-62.6221,44.1895
261926,-0.2863,0.3766,-1.0560,37.4146,-59.7534,41.2598
261934,-0.2830,0.3745,-1.0374,39.9780,-55.7251,39.3066
261942,-0.2815,0.3687,-1.0160,42.1143,-52.9175,38.0249
261950,-0.2826,0.3629,-0.9994,45.0439,-51.6968,37.3535
261959,-0.2964,0.3521,-0.9840,48.3398,-51.5747,35.7056
261966,-0.2982,0.3541,-0.9666,47.5464,-53.5889,33.4473
261975,-0.2969,0.3488,-0.9449,47.4854,-55.2979,31.7993
261984,-0.2841,0.3558,-0.9341,47.8516,-55.6641,29.4189
261992,-0.2709,0.3514,-0.9333,47.7905,-55.7251,28.0762
262000,-0.2692,0.3514,-0.9366,48.8892,-54.0161,25.0244
262008,-0.2618,0.3508,-0.9344,51.0254,-51.8188,23.3154
