ms,ax,ay,az,gx,gy,gz
360157,0.0739,0.6381,-0.9818,-140.2588,31.9214,119.6289
360165,-0.0745,0.6394,-1.1664,-151.6113,27.6489,127.0142
360173,-0.1128,0.6681,-1.3224,-164.9780,17.2729,134.8267
360181,-0.1292,0.6860,-1.4084,-185.5469,7.0190,140.0757
360190,-0.1705,0.6995,-1.4791,-208.0078,6.1035,145.2637
360197,-0.1179,0.7380,-1.5621,-217.0410,13.0615,152.5269
360206,0.0923,0.7126,-1.4542,-205.3833,31.4331,161.6211
360214,0.2964,0.7140,-1.2128,-169.4336,70.1904,172.4854
360222,0.3727,0.6106,-0.8447,-106.8115,122.9248,179.8706
360231,0.0238,0.5933,-0.6707,-84.4727,144.8975,193.2983
360239,-0.4850,0.3871,-0.7480,-98.7549,129.7607,207.2754
360247,-0.8982,0.1852,-0.8822,-61.2183,100.7080,195.6177
360255,-0.9985,0.1052,-0.9880,-7.8735,56.0913,173.5229
360264,-0.8850,0.1210,-1.0720,20.2637,1.8921,162.3535
360272,-0.8016,0.3450,-1.1396,16.4795,-40.7104,145.1416
360280,-0.7882,0.1453,-1.2998,12.0239,-58.2886,104.7363
360289,-0.8655,0.2854,-1.3447,13.6719,-68.2373,92.2241
360297,-0.8917,0.3745,-1.3727,22.0337,-72.5708,80.5054
360305,-0.8741,0.4132,-1.3787,28.3203,-75.2563,66.8335
360313,-0.8306,0.4513,-1.3470,28.6865,-78.6133,54.1382
360322,-0.7676,0.4797,-1.2849,21.6064,-85.5713,42.0532
360329,-0.6874,0.4781,-1.2288,8.6670,-94.3604,35.2173
360338,-0.5975,0.4568,-1.1603,1.4648,-98.1445,32.1045
360347,-0.5178,0.4279,-1.0835,1.9531,-92.7734,26.5503
360354,-0.4706,0.4061,-1.0259,6.8359,-80.5664,18.8599
360363,-0.4253,0.3740,-0.9866,12.7563,-65.4907,14.4653
360371,-0.4312,0.3652,-0.9502,19.7754,-49.3164,13.0005
360379,-0.4403,0.3678,-0.9152,28.0762,-34.2407,12.8784
360388,-0.4329,0.3630,-0.8965,34.4849,-22.0947,11.8408
360396,-0.4495,0.3784,-0.8823,42.1143,-12.6343,11.9019
360404,-0.4543,0.3862,-0.8794,47.7295,-7.9346,12.8174
360412,-0.4695,0.3676,-0.8917,46.8140,-8.0566,13.3057
360421,-0.4575,0.3529,-0.8901,47.2412,-9.0332,10.3760
360428,-0.4238,0.3506,-0.8779,45.1660,-11.8408,7.9346
360437,-0.4124,0.3496,-0.8652,42.0532,-14.8926,6.1035
360446,-0.3922,0.3529,-0.8501,39.5508,-18.3105,4.4556
360453,-0.3629,0.3485,-0.8296,36.8652,-21.7896,3.4790
360462,-0.3419,0.3461,-0.8142,33.0200,-24.1089,2.1362
360470,-0.3506,0.3437,-0.8033,29.7241,-24.7192,0.3052
360478,-0.3408,0.3442,-0.7917,29.6021,-24.2920,-1.5869
360487,-0.3235,0.3512,-0.7859,31.0059,-23.5596,-2.6855
360495,-0.3201,0.3589,-0.7880,32.2876,-22.2778,-2.8687
360504,-0.3264,0.3579,-0.7993,34.2407,-21.3623,-2.8076
360511,-0.3171,0.3573,-0.8202,36.4380,-21.1182,-2.3804
360520,-0.3060,0.3589,-0.8282,39.4897,-20.2026,-1.8921
360528,-0.3060,0.3652,-0.8336,42.0532,-18.6157,-1.1597
360537,-0.3101,0.3640,-0.8333,42.1753,-17.7002,-0.4272
360544,-0.2959,0.3691,-0.8154,40.6494,-16.3574,-1.2207
360553,-0.2786,0.3759,-0.7955,39.1846,-14.0991,-2.0752
360561,-0.2661,0.3821,-0.7736,37.7808,-11.1084,-1.9531
360570,-0.2688,0.3889,-0.7682,36.3159,-8.1787,-2.3193
360577,-0.2792,0.3906,-0.7659,34.4849,-6.6528,-3.1738
360586,-0.2849,0.3940,-0.7551,33.2642,-5.6152,-3.7231
