ms,ax,ay,az,gx,gy,gz
1797755,-0.6499,0.2631,-1.3781,-60.3638,209.9609,208.7402
1797763,-0.8489,0.2347,-1.4327,-25.5737,159.4849,204.1016
1797771,-1.1036,0.1842,-1.5667,-3.4180,89.6606,195.6787
1797780,-1.3195,0.0980,-1.6948,13.3057,17.1509,177.7344
1797787,-1.2389,0.1323,-1.7632,27.3438,-51.0864,142.9443
1797796,-0.9307,0.2778,-1.7480,44.6167,-98.9990,108.0933
1797805,-0.5226,0.4696,-1.6808,53.2837,-116.3330,84.8389
1797812,-0.3364,0.6735,-1.5697,53.8330,-109.9243,83.5571
1797821,-0.6475,0.6573,-1.5011,52.6733,-93.2007,88.2568
1797829,-0.8347,0.5024,-1.4225,59.0820,-85.5713,71.8384
1797838,-0.7764,0.5271,-1.3096,64.6973,-90.6982,42.7246
1797845,-0.6637,0.6246,-1.2098,64.9414,-96.9238,24.3530
1797854,-0.5660,0.6577,-1.1377,68.2373,-97.1069,18.1885
1797862,-0.5128,0.6155,-1.0870,73.9746,-93.1396,21.3623
1797870,-0.4856,0.5591,-1.0453,77.6978,-87.4634,20.9351
1797879,-0.4360,0.5389,-0.9934,77.6978,-81.1768,14.7095
1797886,-0.3766,0.5422,-0.9404,77.4536,-71.5942,8.8501
1797895,-0.3633,0.5339,-0.8937,78.4912,-59.0820,8.0566
1797904,-0.3545,0.5016,-0.8553,78.7964,-47.5464,11.1694
1797911,-0.3400,0.4705,-0.8217,75.0732,-36.8042,10.4370
1797920,-0.3315,0.4574,-0.7909,69.5801,-26.8555,5.7983
1797928,-0.3400,0.4414,-0.7560,63.7817,-17.6392,2.3804
1797936,-0.3383,0.4150,-0.7142,61.9507,-9.0942,-0.6104
1797945,-0.3306,0.3993,-0.6797,59.3872,-4.6387,-3.1738
1797953,-0.3269,0.3894,-0.6620,55.6641,-3.2959,-5.3101
1797962,-0.3376,0.3693,-0.6473,53.4058,-4.2114,-7.8735
1797969,-0.3167,0.3654,-0.6392,51.1475,-7.6294,-9.8877
1797978,-0.2947,0.3652,-0.6283,48.2788,-12.8784,-11.7187
1797986,-0.2799,0.3700,-0.6284,46.3257,-17.7612,-13.5498
1797995,-0.2662,0.3644,-0.6292,44.5557,-21.9727,-14.9536
1798002,-0.2507,0.3691,-0.6235,44.4336,-24.8413,-15.5640
1798011,-0.2502,0.3685,-0.6174,44.3115,-25.9399,-15.3198
1798019,-0.2396,0.3745,-0.6190,43.7012,-26.6113,-15.8691
1798028,-0.2437,0.3738,-0.6229,40.6494,-27.0996,-17.5781
1798035,-0.2479,0.3743,-0.6257,38.3301,-25.2075,-19.1040
1798044,-0.2040,0.3883,-0.6279,37.3535,-21.2402,-18.4937
1798052,-0.1823,0.4059,-0.6261,35.3394,-16.1133,-17.8833
1798061,-0.1652,0.4065,-0.6274,29.9072,-11.6577,-17.2729
1798068,-0.1544,0.4182,-0.6237,25.5737,-7.8125,-19.0430
1798077,-0.1469,0.4218,-0.6154,21.5454,-5.0049,-19.3481
1798085,-0.1300,0.4316,-0.6063,18.7378,-2.8076,-19.2871
1798094,-0.1229,0.4463,-0.5918,14.9536,-0.3052,-18.2495
1798101,-0.1146,0.4529,-0.5826,10.3149,2.8076,-16.5405
1798110,-0.1218,0.4546,-0.5823,6.5308,5.9814,-15.6250
1798119,-0.1215,0.4596,-0.5875,3.4790,8.4839,-15.2588
1798126,-0.1160,0.4659,-0.5815,1.0986,9.7046,-14.8315
1798135,-0.1082,0.4791,-0.5684,-0.8545,10.9863,-13.9771
1798143,-0.1099,0.4918,-0.5688,-3.7842,13.0615,-13.3667
1798151,-0.1134,0.4993,-0.5724,-7.0801,14.9536,-12.4512
1798159,-0.1244,0.5027,-0.5767,-10.6812,15.6250,-11.9629
1798168,-0.1334,0.5127,-0.5850,-14.4653,15.1367,-12.5122
1798176,-0.1373,0.5209,-0.5990,-19.2261,13.9771,-13.0005
1798184,-0.1595,0.5200,-0.6255,-24.1699,12.6343,-14.2212
1798193,-0.1763,0.5131,-0.6458,-28.7476,10.2539,-15.9302
1798201,-0.1952,0.5094,-0.6724,-34.7900,7.9346,-17.8223
1798209,-0.2144,0.5011,-0.6960,-41.5649,6.1035,-19.7754
1798217,-0.2200,0.4921,-0.7075,-47.3022,4.6997,-22.0337
1798226,-0.2299,0.4807,-0.7192,-52.5513,4.1504,-24.8413
1798233,-0.2458,0.4695,-0.7332,-56.7017,3.2349,-28.6255
1798242,-0.2622,0.4629,-0.7485,-61.0352,1.8921,-33.6304
1798250,-0.2964,0.4652,-0.7819,-64.8804,-0.4883,-39.6729
1798259,-0.3468,0.4728,-0.8318,-68.8477,-5.0049,-47.6074
1798266,-0.4059,0.4857,-0.8812,-73.1201,-12.5732,-56.8848
1798275,-0.4570,0.5160,-0.9446,-77.8198,-22.3389,-67.4438
1798283,-0.4985,0.5515,-1.0282,-83.6792,-33.9966,-78.7354
1798292,-0.5259,0.5768,-1.1328,-91.3086,-46.6919,-90.1489
1798300,-0.5168,0.5891,-1.2531,-101.0742,-57.8003,-101.0742
1798308,-0.4445,0.5869,-1.3602,-111.1450,-62.1338,-109.9854
1798316,-0.2693,0.5516,-1.4137,-115.2954,-52.7344,-116.2720
1798324,-0.1095,0.5176,-1.4534,-112.5488,-32.7759,-121.7651
1798333,0.0146,0.4829,-1.4540,-108.1543,-9.8877,-127.7466
1798341,0.1151,0.4243,-1.3838,-101.0132,11.5356,-133.0566
1798349,0.1425,0.3936,-1.3156,-93.8721,27.5269,-140.4419
1798357,0.1422,0.3604,-1.3021,-94.3604,35.5225,-148.0713
1798366,0.0902,0.3125,-1.3076,-99.1211,36.9873,-154.9683
1798375,0.0138,0.2638,-1.2845,-97.2900,38.6353,-160.9497
1798382,-0.3417,0.2238,-1.1970,-80.9326,33.6304,-176.4526
1798391,-0.5808,0.0529,-1.1809,-75.1953,10.0708,-199.3408
1798399,-0.4928,-0.0323,-1.1860,-54.9316,-8.1787,-221.8018
1798407,-0.2482,0.0331,-1.0834,-22.0337,-29.7852,-216.8579
1798415,-0.0265,0.0950,-1.1576,-3.9062,-48.2788,-198.7915
1798424,0.2720,0.1343,-1.2811,9.7656,-56.3354,-179.7485
1798432,0.3376,0.0400,-1.3715,32.7759,-45.4102,-169.7998
1798441,0.4475,0.0759,-1.4320,38.4521,-48.1567,-167.0532
1798448,0.5183,0.1051,-1.4336,60.1807,-47.8516,-135.6201
1798457,0.5363,0.0856,-1.3947,76.5381,-43.3960,-116.7603
1798465,0.5972,0.1099,-1.3346,86.4868,-37.4146,-114.5630
1798473,0.6697,0.1821,-1.2653,93.2617,-28.1982,-111.7554
1798482,0.7037,0.2291,-1.1941,100.0977,-13.7939,-98.6938
1798489,0.6947,0.2305,-1.1177,109.0698,4.9438,-84.4727
1798498,0.6167,0.2207,-1.0576,113.6475,20.6909,-78.9185
1798507,0.5354,0.2133,-0.9963,111.3892,27.8320,-76.2329
1798514,0.4683,0.2091,-0.9283,108.8867,28.8086,-71.5332
1798523,0.3818,0.2137,-0.8790,107.4219,23.8647,-64.7583
