ms,ax,ay,az,gx,gy,gz
1249670,-0.3651,0.3672,-1.1986,-36.6821,79.5288,201.5991
1249679,-0.6370,0.2505,-1.3201,-4.1504,52.3682,196.1670
1249686,-0.7993,0.2357,-1.4811,19.5313,20.0195,176.4526
1249695,-0.8484,0.2784,-1.6382,32.3486,-10.9253,151.8555
1249703,-0.7698,0.3921,-1.6938,45.1050,-35.5225,125.9766
1249711,-0.6981,0.5227,-1.6592,51.5137,-51.6968,99.9756
1249719,-0.6700,0.6434,-1.5817,46.5698,-61.8896,80.3223
1249728,-0.6925,0.6920,-1.4801,48.2178,-64.2090,65.2466
1249736,-0.7196,0.7185,-1.3439,54.4434,-65.1245,53.2227
1249744,-0.6921,0.7069,-1.2325,50.1709,-70.8008,41.9922
1249752,-0.6071,0.7001,-1.1244,52.0020,-73.9746,26.1841
1249761,-0.5150,0.7057,-1.0358,53.9551,-75.4395,15.6860
1249768,-0.4531,0.6702,-0.9550,56.7627,-72.6929,9.7046
1249777,-0.4075,0.6587,-0.8784,59.8145,-66.8945,4.7607
1249786,-0.3696,0.6381,-0.8220,59.7534,-60.4248,2.8687
1249793,-0.3616,0.6158,-0.7678,60.6079,-52.8564,1.0376
1249802,-0.3392,0.6096,-0.7367,63.2324,-44.9219,1.1597
1249810,-0.3489,0.5956,-0.7181,63.4155,-38.8794,2.0752
1249818,-0.3696,0.5667,-0.7092,61.0962,-34.8511,0.8545
1249827,-0.3655,0.5427,-0.6838,58.2886,-31.1279,-2.5024
1249835,-0.3434,0.5397,-0.6580,55.0537,-27.4658,-5.4932
1249844,-0.3394,0.5421,-0.6478,50.8423,-24.4751,-7.9956
1249851,-0.3308,0.5258,-0.6450,46.6919,-23.3154,-10.5591
1249860,-0.3187,0.5063,-0.6475,42.3584,-24.2920,-12.8784
1249868,-0.2823,0.4891,-0.6403,37.8418,-25.3906,-15.3198
1249877,-0.2308,0.4901,-0.6265,33.9355,-24.7192,-17.3340
1249885,-0.2020,0.4891,-0.6224,29.9683,-21.9727,-18.2495
1249893,-0.1901,0.4841,-0.6289,25.6348,-18.3716,-18.1885
1249901,-0.1925,0.4774,-0.6317,23.1323,-14.7705,-18.4326
1249910,-0.2094,0.4735,-0.6353,21.9116,-11.5967,-18.6768
1249918,-0.2040,0.4785,-0.6412,21.9727,-8.4839,-17.7002
1249925,-0.1954,0.4854,-0.6456,24.1699,-5.2490,-16.1133
1249934,-0.1934,0.4951,-0.6605,23.6816,-3.3569,-14.6484
1249942,-0.1938,0.4840,-0.6685,21.1792,-2.0142,-14.5874
1249951,-0.1918,0.4886,-0.6672,21.1792,-0.5493,-15.1367
1249958,-0.1738,0.4989,-0.6708,19.4092,0.2441,-15.3809
1249967,-0.1586,0.4993,-0.6650,16.6016,0.9766,-15.3809
1249976,-0.1384,0.5078,-0.6530,15.2588,2.2583,-14.8926
1249984,-0.1284,0.5129,-0.6548,13.4277,4.1504,-14.2212
1249992,-0.1141,0.5103,-0.6499,10.3760,5.8594,-14.2822
1250000,-0.1002,0.5160,-0.6490,8.4229,8.1787,-14.3433
1250009,-0.1014,0.5275,-0.6609,6.4087,10.3760,-13.7939
1250016,-0.1074,0.5283,-0.6674,5.1270,12.3901,-13.1836
1250025,-0.1193,0.5378,-0.6675,4.0894,13.5498,-12.5732
