ms,ax,ay,az,gx,gy,gz
661589,0.1212,0.5353,-0.4069,116.5161,-67.7490,-45.9595
661596,0.1118,0.5487,-0.3903,110.5957,-61.3403,-42.9688
661605,0.1145,0.5601,-0.3748,103.5767,-56.1523,-41.3818
661613,0.1305,0.5671,-0.3630,94.8486,-51.0864,-40.0391
661621,0.1519,0.5735,-0.3485,86.1206,-44.9219,-38.3301
661630,0.1652,0.5752,-0.3394,79.1626,-37.5977,-36.3159
661638,0.1652,0.5880,-0.3400,72.0215,-30.7007,-33.5693
661646,0.1555,0.5903,-0.3335,65.1855,-24.9634,-31.3721
661654,0.1532,0.6000,-0.3218,59.2041,-19.5923,-29.9683
661663,0.1641,0.6034,-0.3169,53.2837,-15.0146,-29.1138
661671,0.1648,0.6196,-0.2954,49.4385,-11.6577,-28.1982
661679,0.1667,0.6337,-0.2865,45.1660,-8.5449,-26.9775
661688,0.1545,0.6409,-0.2877,40.0391,-6.7139,-25.2686
661695,0.1393,0.6385,-0.2902,34.7290,-7.4463,-23.3154
661704,0.1615,0.6328,-0.2950,29.4800,-7.8735,-23.5596
661712,0.1663,0.6466,-0.2876,28.3203,-7.0801,-24.2310
661720,0.1740,0.6721,-0.2792,26.3672,-7.0801,-23.3765
661729,0.1880,0.6733,-0.2802,24.0479,-8.1177,-20.8130
661736,0.1958,0.6733,-0.2803,22.5220,-8.7280,-18.3716
661745,0.1989,0.6825,-0.2733,22.2168,-8.6670,-17.0898
661754,0.2078,0.6877,-0.2664,21.4233,-8.1787,-15.7471
661762,0.2059,0.6866,-0.2615,19.7144,-7.8735,-14.1602
661770,0.2097,0.6887,-0.2585,17.6392,-7.9956,-12.4512
661778,0.2263,0.6890,-0.2660,14.4043,-8.4839,-11.7798
661786,0.2404,0.6918,-0.2634,11.7187,-8.4839,-12.0239
661795,0.2500,0.6953,-0.2571,9.6436,-7.8735,-11.1084
661803,0.2491,0.6942,-0.2504,7.6904,-7.0801,-9.2773
661811,0.2472,0.6935,-0.2512,5.1270,-6.0425,-7.5684
661819,0.2469,0.6912,-0.2463,2.9297,-4.5776,-6.4087
661828,0.2526,0.6899,-0.2377,1.8311,-2.5635,-5.5542
661836,0.2462,0.6906,-0.2291,1.0376,-0.3052,-4.5166
661844,0.2397,0.6930,-0.2156,0.5493,2.3193,-3.2349
661853,0.2384,0.6920,-0.2107,-1.0376,5.4321,-1.7090
661861,0.2272,0.6891,-0.2194,-3.7842,7.6294,-0.0610
661869,0.2240,0.6868,-0.2334,-5.7373,8.3008,1.6479
661877,0.2314,0.6829,-0.2400,-7.5073,8.9722,3.1738
661885,0.2374,0.6814,-0.2424,-8.4839,10.1318,4.8828
661894,0.2400,0.6803,-0.2418,-9.5215,11.5967,7.1411
661902,0.2455,0.6802,-0.2418,-10.8643,12.8784,9.2163
661911,0.2439,0.6843,-0.2361,-12.0239,13.6719,11.1694
661918,0.2399,0.6880,-0.2275,-13.9160,14.5264,12.2070
661927,0.2355,0.6860,-0.2213,-16.8457,15.3809,13.7329
661935,0.2332,0.6810,-0.2211,-20.0195,16.9067,16.2354
661943,0.2246,0.6737,-0.2227,-22.3389,18.9819,18.7988
661952,0.2136,0.6669,-0.2238,-24.4141,20.9961,21.2402
661960,0.2109,0.6609,-0.2295,-27.4048,23.1323,23.6206
661968,0.2111,0.6619,-0.2383,-30.2124,25.0854,25.0854
661976,0.2119,0.6666,-0.2562,-33.1421,26.4282,26.1841
661985,0.2114,0.6740,-0.2681,-36.2549,27.5269,26.8555
661992,0.2075,0.6798,-0.2826,-38.8794,28.2593,27.7710
662001,0.2013,0.6807,-0.2986,-41.6260,28.7476,29.1138
662009,0.2029,0.6736,-0.3088,-44.0674,29.6021,31.4331
662018,0.1982,0.6677,-0.3102,-44.4946,30.5786,34.3628
662025,0.1901,0.6610,-0.3147,-45.4102,31.6162,37.4756
662034,0.1940,0.6478,-0.3156,-47.9736,32.5928,40.5884
662043,0.1917,0.6425,-0.3207,-49.8047,33.8745,43.8232
662051,0.1749,0.6447,-0.3391,-52.3682,34.7900,46.7529
662059,0.1541,0.6323,-0.3516,-55.6641,34.9121,49.4385
662067,0.1350,0.6217,-0.3610,-58.1665,35.2173,51.7578
662076,0.1234,0.6154,-0.3647,-60.9741,36.2549,54.4434
662084,0.1239,0.6094,-0.3802,-64.2700,38.1470,56.9458
662092,0.1427,0.5953,-0.3976,-68.3594,39.9780,59.3872
662100,0.1559,0.5835,-0.4109,-71.4722,42.1143,62.0117
662108,0.1432,0.5681,-0.4211,-73.7915,43.5181,65.1855
662117,0.1312,0.5502,-0.4332,-78.6743,43.5181,68.8477
662125,0.1152,0.5302,-0.4377,-82.6416,43.2129,72.3267
662133,0.0975,0.5157,-0.4421,-85.7544,42.8467,75.7446
662142,0.0994,0.5073,-0.4687,-90.8813,40.8936,79.8950
