ms,ax,ay,az,gx,gy,gz
1621345,-1.7869,-0.1508,-1.9160,29.7241,27.8320,209.4727
1621356,-1.3362,-0.1840,-2.1008,41.2598,-19.9585,180.8472
1621364,-1.1406,-0.1613,-2.1769,46.8750,-31.3721,178.1006
1621371,-1.2198,0.2030,-2.1509,70.8008,-4.9438,187.1948
1621379,-1.2468,0.0945,-2.1538,89.1113,29.1748,157.8979
1621387,-1.3671,0.2444,-2.0681,91.5527,40.5884,117.0044
1621394,-1.4177,0.4312,-1.8666,95.2759,31.0059,77.0874
1621403,-1.3018,0.5405,-1.6127,95.2148,8.5449,44.0063
1621411,-1.1694,0.5846,-1.3949,94.3604,-16.7236,32.4707
1621419,-1.1410,0.5657,-1.2285,93.2617,-36.6211,24.9023
1621428,-1.1206,0.5736,-1.0967,97.8394,-53.0396,10.4980
1621436,-1.0601,0.5532,-0.9762,102.4780,-69.3359,0.8545
1621445,-1.0017,0.5072,-0.8883,103.2715,-81.2988,-9.2773
1621452,-0.9417,0.4962,-0.8132,104.5532,-88.0737,-20.5688
1621461,-0.8658,0.4673,-0.7705,105.1025,-92.0410,-26.5503
1621469,-0.8042,0.4313,-0.7491,104.4922,-93.0786,-29.6021
1621478,-0.7234,0.3887,-0.7151,102.9053,-91.0034,-31.3110
1621485,-0.6558,0.3658,-0.6782,100.8911,-85.0830,-33.8745
1621494,-0.6174,0.3459,-0.6461,96.2524,-77.8809,-34.9731
1621502,-0.5831,0.3221,-0.6061,92.1631,-69.7632,-36.7432
1621511,-0.5543,0.3093,-0.5685,89.0503,-61.4624,-40.4053
1621518,-0.5442,0.3024,-0.5291,85.8765,-55.7251,-42.8467
1621527,-0.5240,0.2991,-0.4894,82.1533,-52.4902,-43.8232
1621535,-0.5016,0.3021,-0.4575,79.1016,-50.3540,-44.2505
1621544,-0.4916,0.2965,-0.4451,73.5474,-48.9502,-43.6401
1621551,-0.4493,0.2968,-0.4261,69.9463,-46.6919,-44.1284
1621560,-0.4302,0.3011,-0.4175,67.9321,-43.2739,-43.6401
1621568,-0.4103,0.3038,-0.4222,64.4531,-40.2222,-42.1753
1621577,-0.3765,0.2965,-0.4061,61.8286,-36.8652,-40.4053
1621584,-0.3616,0.2905,-0.3832,59.9365,-32.0435,-39.7949
1621593,-0.3547,0.2938,-0.3778,56.8848,-27.2217,-40.5273
1621601,-0.3700,0.2924,-0.3812,52.3071,-24.7803,-40.8936
1621610,-0.3842,0.2877,-0.3835,48.4009,-23.3154,-40.2222
