ms,ax,ay,az,gx,gy,gz
539405,0.5308,0.7518,-1.3835,-137.4512,248.2300,204.4067
539413,-0.3713,0.7416,-1.3375,-79.2236,254.0283,234.8633
539421,-1.3455,0.4530,-1.4196,-39.8560,198.5474,259.3384
539430,-1.8658,0.1257,-1.6063,-12.9395,93.0176,257.6294
539437,-1.8759,-0.0016,-1.8252,30.7617,-13.1226,222.3511
539446,-1.3610,0.1362,-2.0200,57.3730,-100.0977,169.4946
539454,-0.9398,0.7233,-2.0143,62.6221,-141.1133,119.4458
539463,-1.0237,0.6704,-2.0516,59.8145,-136.1694,71.7163
539470,-1.2206,0.7937,-1.9663,59.1431,-129.8828,68.6035
539479,-1.2616,0.7883,-1.8038,75.3174,-122.6196,53.1616
539487,-1.1445,0.9069,-1.5654,69.8242,-121.7041,20.6299
539495,-0.9756,0.9526,-1.3513,60.7300,-131.1035,-3.2349
539504,-0.8209,0.9255,-1.1571,56.7017,-138.3667,-17.7002
539512,-0.6727,0.8540,-0.9955,61.3403,-136.9019,-23.8037
539521,-0.5981,0.7722,-0.8739,70.4346,-125.4883,-27.5269
539529,-0.5618,0.6823,-0.7889,78.9185,-108.8257,-27.8931
539537,-0.5287,0.6238,-0.7242,87.7686,-90.5151,-29.9072
539545,-0.5195,0.6462,-0.6450,91.4917,-75.4395,-31.8604
539553,-0.4795,0.5580,-0.6183,89.0503,-62.3169,-35.5225
539562,-0.4617,0.5327,-0.5781,84.1064,-50.3540,-35.7056
539569,-0.4475,0.5052,-0.5256,80.2612,-37.8418,-35.5225
539578,-0.4286,0.4899,-0.4812,76.9653,-26.0620,-36.1328
539586,-0.4187,0.4650,-0.4244,72.6929,-15.8081,-36.1938
539595,-0.4095,0.4476,-0.3740,70.8008,-6.9580,-36.6821
539603,-0.3986,0.4305,-0.3379,65.1245,-2.5635,-36.3770
539611,-0.3961,0.3976,-0.3116,55.4810,-1.8921,-35.4614
539619,-0.3746,0.3774,-0.2778,46.6919,-2.7466,-35.1563
539628,-0.3490,0.3633,-0.2495,36.2549,-3.4180,-34.2407
539636,-0.3234,0.3496,-0.2218,27.5269,-4.0894,-32.5928
539644,-0.3099,0.3302,-0.1930,22.1558,-4.2114,-31.1279
539652,-0.3156,0.3331,-0.1735,15.8081,-3.6011,-29.6631
539661,-0.2944,0.3241,-0.1757,10.1318,-2.3193,-26.9775
539669,-0.3000,0.3234,-0.1785,8.3618,1.5259,-24.4141
539678,-0.3074,0.3197,-0.1892,4.5166,5.1270,-21.3623
539685,-0.3086,0.3196,-0.2050,-0.0610,8.3008,-18.7988
539694,-0.3177,0.3176,-0.2308,-4.4556,11.4746,-16.2354
539702,-0.3341,0.3225,-0.2662,-9.7656,15.1367,-14.4043
539711,-0.3470,0.3213,-0.2986,-16.7847,18.7988,-12.4512
539718,-0.3544,0.3243,-0.3173,-23.1934,22.2778,-10.4980
539727,-0.3593,0.3375,-0.3452,-31.4941,26.5503,-8.3618
539735,-0.3779,0.3472,-0.3812,-40.4053,31.1279,-6.1035
539744,-0.4061,0.3571,-0.4277,-49.9268,35.0952,-4.5776
539752,-0.4374,0.3687,-0.4677,-60.4248,38.5742,-3.8452
539759,-0.4551,0.3900,-0.4998,-71.0449,42.6636,-3.7842
539768,-0.5023,0.4302,-0.5746,-82.8857,46.2646,-3.7842
539777,-0.5693,0.4746,-0.6971,-94.8486,48.2788,-4.6387
539785,-0.6605,0.5134,-0.8334,-109.4971,44.7998,-7.8125
539792,-0.6895,0.5533,-1.0354,-124.0234,39.1235,-13.9771
539801,-0.7581,0.6200,-1.1947,-138.6108,39.1846,-21.7896
539809,-0.7024,0.6338,-1.4506,-174.4385,39.0015,-27.9541
539818,-0.6277,0.6227,-1.5443,-162.2925,56.2744,-37.5977
539825,-0.5516,0.6025,-1.6031,-157.7148,74.8901,-43.1519
539834,-0.4435,0.5508,-1.6552,-161.6211,89.3555,-53.8940
539842,-0.2684,0.5692,-1.5809,-151.9165,103.4546,-75.0732
539851,-0.1799,0.5690,-1.4907,-140.9302,120.3003,-92.7734
539859,-0.2039,0.5227,-1.4404,-138.9771,138.4888,-101.3184
539867,-0.3312,0.4299,-1.4146,-144.2261,155.5786,-103.9429
539875,-0.4213,0.3663,-1.4969,-146.9116,165.3442,-111.6943
539884,-0.5436,0.3441,-1.7009,-150.8789,146.4233,-128.5400
539892,-0.7290,0.2891,-1.9608,-153.6255,87.2192,-159.2407
539900,-1.0425,0.1467,-2.0834,-144.5312,0.7324,-212.0361
539908,-0.9641,-0.0178,-1.8987,-121.4600,-76.4771,-272.5220
539917,-0.5795,-0.0228,-1.6134,-58.8989,-128.1738,-303.7109
539925,-0.1490,0.2446,-1.3938,19.4092,-162.8418,-294.6777
539933,0.0585,0.4568,-1.2697,42.7246,-170.9595,-263.2446
539942,0.1237,0.4058,-1.2095,51.6968,-155.7617,-213.5620
539950,0.1024,0.2510,-1.1984,59.4482,-139.5264,-161.4380
539958,0.0690,0.1428,-1.1205,77.6978,-129.0283,-142.7002
539966,0.0416,0.0909,-1.0291,95.7031,-115.2954,-140.1978
539974,0.1481,0.1492,-0.9042,98.4497,-97.4121,-145.3857
539983,0.3700,0.1600,-0.8595,92.8345,-82.8857,-135.1318
539992,0.4406,0.1512,-0.8258,112.2437,-58.3496,-104.9805
539999,0.5402,0.1859,-0.8311,108.9478,-44.6167,-81.9092
540008,0.6561,0.1608,-0.8438,102.4780,-28.0762,-77.2705
540016,0.6949,0.1315,-0.8533,98.2666,-9.3994,-74.2188
540024,0.5957,0.1628,-0.8416,93.3228,4.6387,-65.3076
540032,0.5496,0.1616,-0.8119,93.9941,16.2354,-60.6689
540041,0.4274,0.1954,-0.7531,99.7314,25.0854,-51.4526
540049,0.2994,0.2048,-0.6721,95.2148,27.0386,-42.5415
540057,0.1924,0.2073,-0.5945,90.0269,23.1323,-39.0625
540065,0.1125,0.2272,-0.5386,81.2988,12.1460,-33.7524
540073,0.0579,0.2222,-0.5007,74.6460,0.0610,-28.8696
540082,-0.0009,0.2205,-0.4589,66.3452,-13.0615,-28.7476
540091,0.0243,0.2273,-0.4945,54.7485,-28.0151,-23.5596
540098,-0.0015,0.2080,-0.5106,62.3169,-32.6538,-21.1792
540107,0.0463,0.2456,-0.5255,53.3447,-44.2505,-15.0146
540115,0.0328,0.2815,-0.5441,35.5835,-56.3354,-5.6763
540123,0.1691,0.2211,-0.5824,25.1465,-59.3872,-12.3901
540131,0.2256,0.2607,-0.5549,32.2876,-52.8564,-7.6294
540140,0.2625,0.2704,-0.5439,31.7383,-42.9688,3.2959
540148,0.2690,0.2828,-0.5229,31.3721,-29.2358,13.8550
540156,0.2725,0.2700,-0.4991,28.9307,-12.5732,19.8975
540165,0.2467,0.2656,-0.4729,30.0293,4.3945,23.5596
540172,0.1842,0.2852,-0.4386,29.9683,17.8223,30.2124
540181,0.1183,0.2859,-0.4010,29.9072,28.0151,37.7808
540189,0.0786,0.3062,-0.4077,30.5176,33.4473,40.0391
540198,0.0916,0.3286,-0.4242,27.5269,32.5317,45.5933
540206,0.1252,0.3309,-0.4564,21.3013,28.5034,52.7344
540214,0.1830,0.3330,-0.4857,20.0195,25.3296,59.3262
540223,0.2462,0.3359,-0.5153,13.5498,20.8740,66.1621
540230,0.3038,0.3330,-0.5278,3.9062,15.1367,74.3408
540239,0.3451,0.3368,-0.5243,-9.5215,9.3384,83.1909
540247,0.3875,0.3304,-0.5206,-24.1089,9.2163,91.9189
540255,0.4486,0.3038,-0.5037,-25.0244,22.8882,101.3794
540263,0.3882,0.3110,-0.4579,-22.8882,34.6680,112.2437
540272,0.3260,0.3160,-0.4596,-40.2222,33.3252,127.7466
540281,0.3025,0.3130,-0.4982,-43.3960,31.7993,137.3901
540288,0.3074,0.3219,-0.5691,-48.5840,27.8320,148.2544
540297,0.3132,0.3398,-0.6309,-56.0303,21.5454,160.2783
540305,0.3384,0.4078,-0.7870,-75.1953,11.6577,175.5981
540313,0.3324,0.4657,-1.0464,-96.8628,-0.0610,186.0962
540322,0.2537,0.5156,-1.2858,-111.6333,-10.5591,196.4722
540329,0.1742,0.5905,-1.4514,-128.4790,-9.5825,212.5244
540338,0.1987,0.5834,-1.5546,-153.1372,12.0850,231.5063
540347,0.2150,0.4640,-1.4877,-149.5972,50.0488,244.7510
540354,0.1616,0.3630,-1.3302,-99.2432,87.0972,249.0845
540363,-0.1427,0.3611,-1.2709,-46.4478,106.3843,247.4365
540371,-0.6143,0.2888,-1.3599,-16.0522,104.6753,242.5537
540379,-1.0382,0.1868,-1.5308,16.4795,77.3926,230.7739
540388,-1.1539,0.1163,-1.6459,45.2271,24.8413,212.5854
540396,-1.0364,0.2916,-1.6759,61.8286,-30.1514,191.0400
540404,-0.8815,0.1458,-1.7307,66.7114,-59.8755,157.1655
540412,-0.7920,0.1167,-1.7172,64.2700,-65.3076,129.8828
540421,-0.9614,0.2635,-1.6656,61.3403,-61.8896,123.2300
540429,-1.1208,0.3246,-1.5809,67.6270,-53.7109,106.3843
540437,-1.0922,0.4086,-1.4529,73.3032,-51.3916,81.0547
540445,-1.0028,0.5350,-1.3068,70.0684,-54.5654,56.8848
540454,-0.9352,0.5930,-1.1594,60.9741,-61.3403,40.1611
540461,-0.8672,0.5935,-1.0297,58.7158,-66.2231,26.8555
540470,-0.7861,0.5844,-0.9277,61.6455,-67.9932,12.7563
540478,-0.7032,0.5618,-0.8566,62.8052,-67.7490,0.0000
540487,-0.6294,0.5479,-0.8198,62.0117,-67.2607,-7.5684
540495,-0.5756,0.5231,-0.7885,59.2041,-65.3076,-11.2305
540503,-0.5322,0.5038,-0.7430,60.9131,-58.7769,-13.6719
540512,-0.4967,0.4978,-0.6974,61.2793,-50.5371,-16.9067
540520,-0.4835,0.4745,-0.6594,56.6406,-42.7856,-19.2261
540527,-0.4769,0.4517,-0.6218,53.3447,-34.7900,-20.5078
540536,-0.4742,0.4410,-0.5920,50.8423,-28.6255,-21.6064
540545,-0.4592,0.4246,-0.5687,46.2646,-25.2686,-22.8271
540553,-0.4236,0.4124,-0.5409,42.1753,-22.8271,-24.3530
540561,-0.3838,0.4073,-0.5181,37.9639,-19.5923,-25.5127
540569,-0.3584,0.4043,-0.5245,33.5693,-15.9302,-25.3296
540578,-0.3563,0.3961,-0.5262,30.5176,-12.3291,-25.0244
540586,-0.3702,0.3873,-0.5271,29.6021,-9.5825,-24.7192
540594,-0.3788,0.3848,-0.5197,28.6255,-8.9111,-25.2075
540602,-0.3726,0.3835,-0.5043,26.0010,-9.6436,-25.2686
540610,-0.3477,0.3903,-0.4907,23.3154,-9.7656,-25.6348
540619,-0.3298,0.3966,-0.4911,21.3623,-9.4604,-25.3906
540627,-0.3210,0.4086,-0.4916,20.9961,-9.0332,-25.3906
540635,-0.3199,0.4015,-0.5095,17.7612,-9.7046,-24.7192
540643,-0.2913,0.3994,-0.5049,16.5405,-8.9722,-25.5127
540652,-0.2698,0.3973,-0.4894,16.6626,-6.2866,-24.1699
540660,-0.2657,0.4009,-0.4935,13.4888,-4.1504,-23.1934
540668,-0.2516,0.4083,-0.4934,9.5215,-2.1973,-23.9258
540677,-0.2357,0.4198,-0.4871,5.7373,0.5493,-23.5596
540685,-0.2209,0.4246,-0.4825,1.0986,3.4790,-21.6064
540693,-0.2092,0.4276,-0.4698,-2.2583,6.9580,-19.8364
540701,-0.1962,0.4329,-0.4449,-6.0425,11.4746,-17.3950
540710,-0.1885,0.4365,-0.4218,-11.1084,17.7002,-14.7095
540718,-0.1661,0.4327,-0.3766,-15.3809,25.8179,-12.0239
540726,-0.1885,0.4341,-0.3583,-18.6157,33.6914,-8.5449
540734,-0.2278,0.4301,-0.3582,-23.0103,38.3911,-6.4697
540743,-0.2581,0.4246,-0.3726,-27.7100,40.4663,-6.1646
540751,-0.2994,0.4241,-0.4006,-32.8369,40.2832,-6.6528
540759,-0.3209,0.4165,-0.4232,-39.3677,38.3911,-7.0801
540767,-0.2854,0.4304,-0.4412,-45.5933,38.6353,-6.5918
540776,-0.3127,0.3954,-0.4288,-46.8140,45.8984,-4.4556
