ms,ax,ay,az,gx,gy,gz
1069660,-1.8258,0.5260,-2.1348,152.4048,-145.3247,44.7388
1069668,-1.3738,0.7933,-1.8821,161.2549,-170.2271,2.6855
1069676,-1.1370,0.9644,-1.7107,151.0620,-176.3916,-17.2729
1069684,-0.9855,0.8827,-1.5602,145.8130,-174.9878,-25.3906
1069692,-0.8812,0.7697,-1.3331,154.2358,-170.7153,-24.5361
1069701,-0.7395,0.7185,-1.1354,153.3203,-162.7808,-25.9399
1069709,-0.6752,0.6110,-0.9865,156.8604,-148.3154,-16.3574
1069717,-0.6777,0.4669,-0.8831,167.3584,-125.0000,-6.1035
1069725,-0.6890,0.4006,-0.8131,174.1943,-99.9146,-5.8594
1069734,-0.6876,0.3756,-0.7681,171.9971,-80.7495,-8.3618
1069742,-0.7173,0.4752,-0.7053,166.0767,-68.8477,-15.2588
1069750,-0.6881,0.2844,-0.6962,154.6021,-62.3169,-33.9355
1069758,-0.6661,0.2849,-0.6359,139.3433,-60.6689,-44.6777
1069767,-0.6361,0.2705,-0.5657,127.6855,-57.2510,-49.0112
1069775,-0.5952,0.2388,-0.4982,119.5679,-50.5981,-51.9409
1069784,-0.5670,0.2067,-0.4246,113.7085,-41.1377,-51.8188
1069792,-0.5302,0.1736,-0.3662,108.7036,-30.5786,-52.0630
1069799,-0.4966,0.1694,-0.3311,102.1118,-22.7051,-52.5513
1069808,-0.4587,0.1709,-0.3296,92.8345,-18.3105,-52.6123
1069816,-0.4335,0.1742,-0.3376,83.3130,-15.5640,-54.9927
1069825,-0.4144,0.1676,-0.3199,77.2095,-13.7329,-56.7627
1069833,-0.3955,0.1858,-0.3075,72.3267,-13.0005,-58.0444
1069841,-0.3920,0.1914,-0.2965,65.6738,-13.9771,-58.9600
1069849,-0.3523,0.1932,-0.2773,58.5938,-14.5264,-60.5469
1069858,-0.3092,0.2030,-0.2565,53.0396,-13.3057,-61.1572
1069866,-0.2781,0.2129,-0.2458,49.3774,-11.1084,-59.3872
1069874,-0.2527,0.2302,-0.2351,45.5933,-8.1787,-57.6172
1069883,-0.2311,0.2378,-0.2400,40.5273,-4.1504,-54.6265
1069891,-0.2162,0.2529,-0.2465,36.0718,0.5493,-52.3071
1069899,-0.2050,0.2640,-0.2451,31.0669,5.3101,-49.7437
1069907,-0.1937,0.2819,-0.2390,24.4751,10.8032,-47.3022
1069916,-0.1908,0.3035,-0.2457,17.5171,17.9443,-44.2505
1069924,-0.2058,0.3281,-0.2615,11.1694,24.4141,-40.2222
1069932,-0.2155,0.3364,-0.2625,3.3569,29.9683,-35.5835
1069940,-0.2195,0.3494,-0.2483,-4.7607,34.9731,-32.1045
1069949,-0.2253,0.3633,-0.2429,-14.6484,39.7949,-28.0151
1069956,-0.2305,0.3707,-0.2349,-23.5596,46.4478,-23.7427
1069965,-0.2411,0.3815,-0.2253,-30.5176,54.5044,-19.8975
1069973,-0.2562,0.3921,-0.2347,-37.9639,61.4624,-16.5405
1069982,-0.3047,0.4153,-0.2817,-45.8984,66.3452,-15.1367
1069989,-0.3669,0.4465,-0.3878,-56.2744,67.2607,-15.9912
1069998,-0.4347,0.4691,-0.5084,-67.9932,64.5752,-18.6768
1070006,-0.4869,0.5021,-0.6359,-78.8574,58.7158,-23.3154
1070015,-0.5514,0.5419,-0.7506,-93.3228,50.6592,-29.2358
1070023,-0.5402,0.5668,-0.8461,-110.2295,44.1284,-34.9731
1070031,-0.5469,0.6011,-0.9102,-126.7090,43.3350,-39.7339
1070039,-0.5670,0.6387,-1.0167,-143.9209,45.1050,-45.2881
1070048,-0.6273,0.6978,-1.1682,-164.1846,44.3115,-53.1616
1070056,-0.6107,0.7661,-1.3345,-184.3262,40.7104,-67.6880
1070064,-0.5090,0.7474,-1.5238,-191.4062,46.8750,-85.0830
1070072,-0.4448,0.7395,-1.5753,-179.6875,69.2749,-94.6045
1070081,-0.2218,0.7689,-1.5917,-181.2134,94.4214,-102.7222
1070088,-0.0137,0.7401,-1.5847,-187.3779,116.9434,-105.5298
1070097,0.0095,0.6847,-1.6038,-195.1904,136.0474,-117.4927
1070106,-0.0540,0.6279,-1.5996,-185.9131,149.4141,-142.8223
1070114,-0.1975,0.5759,-1.6133,-178.5889,149.2310,-168.4570
1070122,-0.3385,0.5343,-1.7953,-179.5654,132.4463,-188.4766
1070130,-0.5520,0.5040,-1.8785,-177.0630,90.2710,-208.0688
1070139,-1.6637,0.2993,-1.7787,-152.2217,23.9258,-244.0186
1070147,-1.4022,-0.1256,-1.4741,-117.9810,-29.4189,-286.5601
1070155,-0.5312,0.0165,-1.2749,-50.4761,-72.5098,-307.4341
1070163,0.1533,0.3074,-1.0767,-7.6294,-104.9194,-293.3960
1070171,0.2928,0.3390,-1.1578,-15.4419,-106.0791,-254.8218
1070180,0.0016,0.1464,-1.3248,-11.9019,-88.3179,-206.2378
1070188,-0.1139,-0.0579,-1.3718,16.0522,-78.8574,-173.9502
1070196,0.1285,-0.0768,-1.3607,43.3350,-86.2427,-165.4663
1070204,0.3441,0.0098,-1.3722,57.3120,-94.9097,-166.5649
1070213,0.3945,0.0634,-1.3713,71.2280,-93.3228,-160.8887
1070221,0.4584,0.0813,-1.3134,88.4399,-89.2334,-144.6533
1070230,0.5743,0.0878,-1.2335,100.3418,-82.1533,-127.8076
1070237,0.6294,0.1017,-1.1655,107.6050,-66.5894,-115.1733
1070246,0.6000,0.1025,-1.1105,112.9761,-45.7764,-105.4688
1070255,0.5338,0.1155,-1.0529,117.2485,-26.4282,-97.2900
1070262,0.4539,0.1158,-0.9880,121.0938,-11.8408,-88.9282
1070271,0.3666,0.1133,-0.9054,121.6431,-2.4414,-82.9468
1070279,0.3243,0.1206,-0.8179,118.6523,2.6855,-80.3223
1070287,0.2539,0.1499,-0.7354,113.9526,2.4414,-72.0215
1070296,0.1719,0.1519,-0.6788,105.7739,-1.6479,-64.9414
1070303,0.1355,0.1515,-0.6273,92.3462,-9.5825,-64.1479
1070312,0.2114,0.1497,-0.5994,84.7168,-16.7847,-58.5327
1070320,0.1317,0.1288,-0.5609,90.5151,-14.8926,-59.1431
1070329,0.1737,0.2329,-0.4827,71.4722,-30.3345,-47.5464
1070336,0.1505,0.1697,-0.5564,42.4194,-46.8140,-33.1421
1070345,0.2200,0.1073,-0.5419,54.6875,-41.5649,-43.7012
1070354,0.2322,0.1743,-0.5253,64.5752,-36.6211,-39.6729
1070361,0.2631,0.2032,-0.5231,58.8379,-36.3159,-21.0571
1070370,0.2659,0.1667,-0.5475,50.4150,-33.6914,-7.6294
1070378,0.2701,0.1498,-0.5388,50.2319,-24.4141,-5.5542
1070386,0.2827,0.1729,-0.5236,48.1567,-13.7939,-4.3335
1070395,0.2739,0.1914,-0.5249,44.3115,-4.7607,2.6855
1070402,0.2510,0.1835,-0.5188,36.1938,1.7700,10.8643
1070411,0.2544,0.1824,-0.4988,30.7007,8.9111,15.8081
1070419,0.2588,0.2017,-0.4779,26.6724,15.0757,19.7144
1070428,0.2483,0.2235,-0.4694,21.9116,19.0430,26.7334
1070436,0.2462,0.2214,-0.4579,14.7095,21.1792,33.9966
1070444,0.2930,0.2213,-0.4504,8.6670,22.0947,40.1001
1070453,0.3284,0.2137,-0.4572,7.2021,25.8789,49.0723
1070461,0.3323,0.2239,-0.4504,9.0332,30.2734,56.7017
1070468,0.3279,0.2419,-0.4573,7.0190,31.6772,66.7725
1070477,0.3285,0.2401,-0.4720,3.2349,31.3110,78.6133
1070486,0.3163,0.2343,-0.4849,-1.4038,31.1890,89.1724
1070494,0.2972,0.2384,-0.5039,-7.4463,31.3110,97.4731
1070502,0.2831,0.2493,-0.5321,-15.8691,30.8228,104.9805
